,date,id,content,retweetCount,likeCount,place,inReplyToTweetId,retweetedTweet,coordinates,hashtags,lang
143,2022-11-20 17:00:01+00:00,1594375021056638978,"DESTINATION QATAR

Des téléviseurs de  qualité pour profiter pleinement du #MondialQatar2022

suivez ce lien pour découvrir tous les autres produits.
https://t.co/uLuXk5dc4u

#eclik #achatfacile #Coupedumonde #Bestdeals #Fastdeals #EcommerceCameroun https://t.co/YcIVRZD5AK",2,1,,,,,"['MondialQatar2022', 'eclik', 'achatfacile', 'Coupedumonde', 'Bestdeals', 'Fastdeals', 'EcommerceCameroun']",fr
144,2022-11-20 16:59:04+00:00,1594374782077878273,"Bienvenue au Grand Marché de Cacavéli Dékawowo-Simé 💯🔥
Suivez tous les matchs de la coupe du monde dans un cadre de qualité ✨

#marchemordernedecacaveli #coupedumonde #Qatarworldcup2022 #Afrique #cacaveli #CDM2022 #Togo #NWTV https://t.co/bcMGcpjEM3",0,1,,,,,"['marchemordernedecacaveli', 'coupedumonde', 'Qatarworldcup2022', 'Afrique', 'cacaveli', 'CDM2022', 'Togo', 'NWTV']",fr
145,2022-11-20 16:58:17+00:00,1594374584727478274,Déjà un premier coup de froid pour le match d’ouverture du #Qatar 😉 #Qatar2022 #coupedumonde2022 #FIFAWorldCup #CoupeDuMonde #clim,0,1,,,,,"['Qatar', 'Qatar2022', 'coupedumonde2022', 'FIFAWorldCup', 'CoupeDuMonde', 'clim']",fr
146,2022-11-20 16:58:03+00:00,1594374525130612738,"La mascotte en forme de fantôme d’ouvrier du bâtiment officiellement dévoilée #CoupeDuMonde #Gorafi 
#FIFAWorldCup #BoycottQatar2022 https://t.co/oNstSvnC6q",1,3,,,,,"['CoupeDuMonde', 'Gorafi', 'FIFAWorldCup', 'BoycottQatar2022']",fr
147,2022-11-20 16:57:55+00:00,1594374490875625473,"#FIFAWorldCup #CoupeDuMonde
⚽ COUPE DU MONDE 2022 ⚽
Matchs de poules
Journée 1/3

🇶🇦 Qatar • Équateur 🇪🇨
MI-TEMPS",0,2,,,,,"['FIFAWorldCup', 'CoupeDuMonde']",fr
148,2022-11-20 16:57:51+00:00,1594374474425581569,"#FIFAWorldCup #CoupeDuMonde
⚽ COUPE DU MONDE 2022 ⚽
Matchs de poules
Journée 1/3

🇶🇦 Qatar • Équateur 🇪🇨
MI-TEMPS",0,0,,,,,"['FIFAWorldCup', 'CoupeDuMonde']",fr
149,2022-11-20 16:54:21+00:00,1594373594913689603,"Pour cette #CoupeDuMonde, la santé &amp; le sport s'associent pour célébrer les champions 🏆 qui marquent des buts &amp; sauvent des vies chaque jour! #MerciHérosDelaSanté pour tout votre engagement dans la promotion de la santé des personnes à travers le monde 🙌
https://t.co/7HE0wqqNAt",3,9,"{'fullName': 'Democratic Republic of Congo', 'name': 'Democratic Republic of Congo', 'type': 'country', 'country': 'Democratic Republic of Congo', 'countryCode': 'CD'}",,,"{'longitude': 12.2013992, 'latitude': -13.4587898}","['CoupeDuMonde', 'MerciHérosDelaSanté']",fr
150,2022-11-20 16:54:02+00:00,1594373513296625665,#MarsHillBlog Post L'attaquant français exclu de la Coupe du monde 2022 #CoupeduMonde2022 #CoupeduMonde #Football #Qatar2022 #Qatar #France https://t.co/BBMIs7zFRb,0,0,,,,,"['MarsHillBlog', 'CoupeduMonde2022', 'CoupeduMonde', 'Football', 'Qatar2022', 'Qatar', 'France']",fr
151,2022-11-20 16:52:00+00:00,1594373001646047233,"Retrouvez toutes les Fucknews sportives de la semaine sur https://t.co/geGcnUGbcb

#qatar #qatar2022 #coupedumonde2022 #CoupeDuMonde #FRAESP #FranceEspagne #Benzema #QatarWorldCup2022 https://t.co/swdArwil4m",0,0,,,,,"['qatar', 'qatar2022', 'coupedumonde2022', 'CoupeDuMonde', 'FRAESP', 'FranceEspagne', 'Benzema', 'QatarWorldCup2022']",fr
152,2022-11-20 16:52:00+00:00,1594373001633472512,"#Qatar : Les villes françaises ne diffuseront pas des matchs de foot sur les écrans géants, mais des vidéos d'accidents d'ouvriers intervenus et filmés pendant la construction des stades de la #CoupeDuMonde 

L'article sur https://t.co/Ntfa07JfFk

#QatarWorldCup2022 #Qatar2022 https://t.co/NyuB0LurMr",0,2,,,,,"['Qatar', 'CoupeDuMonde', 'QatarWorldCup2022', 'Qatar2022']",fr
153,2022-11-20 16:51:00+00:00,1594372749849509892,"Pour compenser les salaires non payés par les autorités qataries, les ouvriers qui ont participé à la construction des stades de la #CoupeduMonde vendent des calendriers.

L'article sur https://t.co/93fY08Gx3l

 #Qatar #Qatar2022 #QatarWorldCup2022 #FRAJAP #Benzema #EDF https://t.co/H43bvbnEaL",0,1,,,,,"['CoupeduMonde', 'Qatar', 'Qatar2022', 'QatarWorldCup2022', 'FRAJAP', 'Benzema', 'EDF']",fr
154,2022-11-20 16:50:49+00:00,1594372703980429312,"#FIFAWorldCup #CoupeDuMonde
⚽ Le temps additionnel a commencé",0,0,,,,,"['FIFAWorldCup', 'CoupeDuMonde']",fr
155,2022-11-20 16:50:35+00:00,1594372646828908544,"Mi-temps
#ECU: 2
#QAT/FIFA : 0 #FIFAWorldCupQatar2022 #FIFAWorldCup2022 #CoupeDuMondeFIFA    #FIFAWorldCup    #CoupeDuMonde #QATECU #TF1",0,0,"{'fullName': 'Pontmain, France', 'name': 'Pontmain', 'type': 'city', 'country': 'France', 'countryCode': 'FR'}",,,"{'longitude': -1.0830649, 'latitude': 48.4218458}","['ECU', 'QAT', 'FIFAWorldCupQatar2022', 'FIFAWorldCup2022', 'CoupeDuMondeFIFA', 'FIFAWorldCup', 'CoupeDuMonde', 'QATECU', 'TF1']",et
156,2022-11-20 16:50:00+00:00,1594372500045139970,"C’est pas nouveau en fait :D ily a eu pire au passé … un Cheikh a annulé un but lors de la #CoupeDuMonde 1982 !
#Qatar2022 https://t.co/XZwydmFq2R",0,0,,,,,"['CoupeDuMonde', 'Qatar2022']",fr
157,2022-11-20 16:48:39+00:00,1594372160516231169,"⚽L'argent et les dérives du #sportbusiness n'épongeront jamais le scandale écologique, la catastrophe sociale ni le sang des personnes qui ont perdu la vie pour organiser cette #coupedumonde de la honte ou qui sont persécutées dans ce pays (femmes,étrangers,personnes LGBTQIA+)🏳️‍🌈 https://t.co/SGmCBgNmTN",0,11,"{'fullName': 'Schiltigheim, France', 'name': 'Schiltigheim', 'type': 'city', 'country': 'France', 'countryCode': 'FR'}",,,"{'longitude': 7.7011633, 'latitude': 48.5980381}","['sportbusiness', 'coupedumonde']",fr
158,2022-11-20 16:45:51+00:00,1594371456527486977,Dans le foot amateur on peux comprendre que l’arbitre ne peux pas voir le hors jeu. Dans une #CoupeDuMonde difficile de comprendre cela  #QATECU https://t.co/tnq3CSdQib,0,0,,,,,"['CoupeDuMonde', 'QATECU']",fr
159,2022-11-20 16:44:11+00:00,1594371036430143490,"#FIFAWorldCup #CoupeDuMonde
⚽ CARTON JAUNE
🟨 Karim Boudiaf (Qatar 🇶🇦)
36' minute",0,0,,,,,"['FIFAWorldCup', 'CoupeDuMonde']",fr
160,2022-11-20 16:44:06+00:00,1594371015823564800,"#FIFAWorldCup #CoupeDuMonde
⚽ CARTON JAUNE
🟨 Karim Boudiaf (Qatar 🇶🇦)
36' minute",0,0,,,,,"['FIFAWorldCup', 'CoupeDuMonde']",fr
161,2022-11-20 16:42:40+00:00,1594370651812679680,Dans 2 mois il est retrouvé mort à son domicile #CoupeDuMonde #WorldCup2022 #QATECU https://t.co/MLrQaSU2qf,0,0,,,,,"['CoupeDuMonde', 'WorldCup2022', 'QATECU']",fr
162,2022-11-20 16:42:08+00:00,1594370520765681668,#Coupedumonde : #Gims animera le concert de la finale https://t.co/lD2mnxC4Q3 via @Figaro_Culture https://t.co/bWBYftyAzk,1,1,,,,,"['Coupedumonde', 'Gims']",es
163,2022-11-20 16:41:46+00:00,1594370426855383040,"الله الوطن الGoat 😤😤😤😤
Viva Argentinaaaaaaaaaaaaa 🥁🥁🥁🪘🪘🪘🪘

#argentina🇦🇷 ❤️ 
#worldcup #coupedumonde #worldcup2022 #qatar #messi https://t.co/xc7oNCpE8j",1,12,,,,,"['argentina', 'worldcup', 'coupedumonde', 'worldcup2022', 'qatar', 'messi']",ca
164,2022-11-20 16:41:02+00:00,1594370242846785539,Trop fière de toi mon pays ECUADOOOOOR ❤️❤️❤️ #coupedumonde,0,1,,,,,['coupedumonde'],fr
